Date,Day,Time,CumulativeTime,Hour,Degrees,Radians,Tb
02-Dec,0,9:00,9,9,135,0.157079633,36.27
02-Dec,0,11:00,11,11,165,0.191986218,36.37
02-Dec,0,13:01,13.01666667,13.01666667,195.25,0.227183691,36.74
02-Dec,0,15:56,15.93333333,15.93333333,239,0.278089127,36.97
02-Dec,0,19:12,19.2,19.2,288,0.335103216,37.18
02-Dec,0,20:31,20.51666667,20.51666667,307.75,0.358083385,36.94
02-Dec,0,23:57,23.95,23.95,359.25,0.418006356,37.09
03-Dec,1,3:58,27.96666667,3.966666667,419.5,0.488110414,36.07
03-Dec,1,9:14,33.23333333,9.233333333,498.5,0.580031088,36.39
03-Dec,1,12:00,36,12,540,0.628318531,36.59
03-Dec,1,14:00,38,14,570,0.663225116,36.97
03-Dec,1,16:58,40.96666667,16.96666667,614.5,0.715003217,36.96
03-Dec,1,18:55,42.91666667,18.91666667,643.75,0.749037137,37.08
03-Dec,1,22:06,46.1,22.1,691.5,0.804596785,37.24
04-Dec,2,2:56,50.93333333,2.933333333,764,0.888954366,36.36
04-Dec,2,7:07,55.11666667,7.116666667,826.75,0.961967306,36.08
04-Dec,2,9:12,57.2,9.2,858,0.998328332,36.51
04-Dec,2,12:38,60.63333333,12.63333333,909.5,1.058251303,36.38
04-Dec,2,15:02,63.03333333,15.03333333,945.5,1.100139205,36.97
04-Dec,2,18:19,66.31666667,18.31666667,994.75,1.157444182,37.12
04-Dec,2,19:33,67.55,19.55,1013.25,1.17896991,37.29
04-Dec,2,22:48,70.8,22.8,1062,1.23569311,36.96
05-Dec,3,9:27,81.45,9.45,1221.75,1.421570676,36.37
05-Dec,3,12:28,84.46666667,12.46666667,1267,1.474221442,36.78
05-Dec,3,14:58,86.96666667,14.96666667,1304.5,1.517854673,36.91